FID	IID	Some pheno 101	Some pheno 102	Some pheno 103	Some pheno 104	Some pheno 105	Some pheno 106	Some pheno 107	Some pheno 108	Some pheno 109	Some pheno 110
FID 1	IID 5001	6.497170179688521	-6.01868220214391	-3.4631680901536512	3.6253429011790166	-7.128817757941361	6.283317404155896	-5.919597264219277	-4.049746875510139	4.711073135501903	-3.057901122231911
FID 2	IID 5002	0.13024006147209066	0.16292001661407396	1.2128925956866816	-1.1571858995219786	-4.8040163078595866	4.111036873135583	0.9882881296976803	-2.553210634814323	2.1741950318332197	-2.0597335416664935
FID 3	IID 5003	-2.681371184995354	0.16258496770617525	-3.0624632416938935	1.8397695395773304	8.370106269061038	1.338695973455643	-7.743291231776031	6.239482340824724	6.376322709919307	-5.368816925478843
FID 4	IID 5004	1.6194526928930257	-2.0202273150035266	0.5181602837960307	1.8184142068338303	5.097110251538817	-6.238287585477204	1.3607627535226396	-6.264845299209478	-4.723483998111065	3.3802498324262116
FID 5	IID 5005	6.975860581713028	-6.119102476053191	-4.788694474107947	0.7955803854911316	9.985971189954673	-4.774644253458895	-6.095541628942604	-0.350691509462309	4.153348657992301	3.610181077716778
FID 6	IID 5006	1.23133927445754	-0.6774022579345451	2.849608931267704	5.91617239455642	3.1603384164041812	-1.942086127316572	-1.9594212124126265	-1.7677070536561506	-4.124755494030671	6.390733429022847
FID 7	IID 5007	3.7303326342201295	-5.31154060407137	-1.6694884586947858	2.205455934942166	-6.720387456203927	4.21956658800127	-4.1528073974128015	-2.227862722062244	7.2037697556649665	0.3361645751278344
FID 8	IID 5008	0.24612142352111022	1.7890433824530616	4.381147287524621	4.880166847960576	1.7328231830358276	2.374666561257551	-4.127270182491751	-7.153780139357432	0.47488332576814085	3.335952884037331
FID 9	IID 5009	-2.247022374508229	0.65363731279818	-3.0630590019620687	2.3715180038618393	1.2638995333986078	5.035252116084309	-2.3846941111181446	-6.1382373991022865	-0.4620780779981315	1.5847741956686683
FID 10	IID 5010	4.673564182162603	1.9387402584084654	5.1490233279335005	10.17844780637517	-6.315238251519891	12.992443429184284	-1.3006930919859312	3.706816525334488	6.077911425788869	2.7666420309849666
FID 11	IID 5011	-8.194355280293774	4.288138590657123	-3.153499123159326	5.050949249282761	1.8057820351320204	3.5471505022520446	-4.912758610966984	0.3393309458882787	-0.05506569794571514	-5.131894945207369
FID 12	IID 5012	-6.550748658299942	6.339290440019878	7.696553571422172	-0.5220273242787572	-6.193335850873059	-3.133332241601016	4.536055120449602	0.5188262108691442	1.2294474808654385	-1.9108629440160785
FID 13	IID 5013	1.6469809090790408	0.861081675448613	-0.28189344161925645	-0.40205332457060516	-2.6356496738185915	3.7017010321707065	-3.044712964334754	-1.9195965460706383	1.9670998656331666	-0.164839157249969
FID 14	IID 5014	4.213746761999412	-1.7499142262458214	-6.1103774420007575	1.0415461196469202	-5.109785147864049	1.7984141129085405	-1.3236858325772451	-1.2438379957567216	2.238848660601696	-3.275537651080612
FID 15	IID 5015	-4.647625676295882	4.288586508824824	1.136947518466253	7.862491038618913	7.492722691408815	0.5754816283869648	0.8720300867964181	4.002111046172152	-3.362823524670542	6.952686308313393
FID 16	IID 5016	1.4315075505414705	0.7287430035911644	-7.147061755034985	-1.5170920417634908	-5.21532195110675	3.0871808580622373	-3.9327032115153613	1.4287302759458966	-1.1038029527819802	-4.925413057152554
FID 17	IID 5017	-2.4213952046362075	2.3380928931826475	-1.047700050951315	3.188891834588765	-3.815006885234015	2.178335075353824	2.7534963769088265	-1.3360080943212296	-0.931533694367862	0.44929398922088337
FID 18	IID 5018	-1.9059276768431386	-0.30150480798939705	-4.268420963739047	-1.7354537700657997	-3.3112271275491003	0.2464573445239	0.1569249736727456	-4.168615492156646	-2.1237041320157517	-2.263416909679987
FID 19	IID 5019	1.2392536931771612	4.390029416337738	-2.5486419598747574	6.735356810328047	4.4668264568008444	2.9770667890135893	-0.9159543531022727	4.074163636957851	4.671536739944687	-0.7641048006419264
FID 20	IID 5020	0.9852110289204075	2.2858023703350443	-7.215837657817261	12.546752503262203	-2.191457332278227	5.6663809620483745	1.3629894550938737	3.7596773900080933	-4.038266550199412	1.7560111614977891
FID 21	IID 5021	5.686930612077839	-6.282403100831061	-3.7253793634642234	1.2169349016337345	-14.84383065131074	2.566238632786603	2.0048630921383186	2.613121839424979	7.0469375795713605	-0.3565613297488174
FID 22	IID 5022	3.509357512760084	0.577499883752081	-4.125561774587547	6.267240831593108	0.23615405207729123	1.5762143427409994	-5.419082691569021	-1.954939981004853	0.3434514973117633	-1.5925319214116007
