FID	IID	my covar 301	my covar 302	my covar 303	my covar 304	my covar 305	my covar 306	my covar 307	my covar 308	my covar 309
FID 1	IID 5001	0.1292563143343646	-0.478350233657073	1.370695349586039	-0.12694130489796931	-0.20789421919921516	0.16122882106160982	0.17980735567381237	-0.8010410696809286	1.769378831656267
FID 2	IID 5002	-0.8583741957014838	0.5012944132183003	0.3212704133425894	0.278533437677769	-0.17071671100507496	1.504704908187184	0.17991078923010947	0.046326734475541295	-1.8245460175758452
FID 3	IID 5003	-0.804121211099156	-1.2428435371530862	-0.599071871341145	1.135465289329961	0.06989692115664954	-0.6728441507284856	-0.8981034235803241	0.6236016540971839	0.46671783522070576
FID 4	IID 5004	-0.30827746052706345	-0.5787490304389522	0.2965506627530149	1.2620789536874155	-1.703401275239466	0.3469086935693859	0.07076983937852087	2.389420587549859	-0.14358823203603077
FID 5	IID 5005	0.734569250013849	-1.3124826785820596	0.27320583960754985	-0.9532325869097854	-0.7201766179403508	0.43667189391655964	0.16364856651584256	-0.791753271803249	-0.8304061805691744
FID 6	IID 5006	0.07348052935610155	-0.4524842299871246	0.22775879590524342	-0.4010240366645917	0.3491781838059618	-1.5025518337121302	-0.02000268984929515	-0.6367164405842032	-1.4970973179107128
FID 7	IID 5007	-0.4407419856292422	-0.6704150579524634	0.787222627102868	0.17598553030918265	-1.1089353434590443	-0.4289713390643698	-0.2389407361165784	0.29949403970906163	1.381813784661091
FID 8	IID 5008	1.958549357648941	-0.4106009185670689	0.5701950900551671	1.4083915890208116	-1.725461379674952	0.073189103096281	0.44164863351156924	0.44043506717930997	1.3070046944478648
FID 9	IID 5009	0.6753101050901328	0.17860863385380493	-0.3537532885211354	0.3075160950426781	-0.8080520289173102	0.7578220491089517	0.9363916338851803	-1.9745699437012467	-0.06659942419813812
FID 10	IID 5010	0.2971618699830516	1.3772073119157566	0.12110051177616903	-1.6242484830024113	-0.25599068089875987	0.272741662998672	-1.5000407881984967	-0.745570495463954	0.05323650252943197
FID 11	IID 5011	0.7424912490550801	1.0965418371230906	-0.9151785159719195	0.26704297036661095	0.6370593891918304	-1.408368067231871	-0.786573130280263	-1.6360364716628641	0.8027026830338365
FID 12	IID 5012	1.7994240404181718	-0.25555960378221476	-0.6949903966111027	-0.34134680867416023	-1.0201515471517446	1.3705946983751938	0.6301798034347775	0.5541495630626723	0.6968017381611072
FID 13	IID 5013	-0.12923441937943325	-1.4548287346035589	-0.7387216630817971	2.061118647375517	-0.09731005652933625	1.3335374488878136	1.047548026324904	0.16098557679381142	0.38820981692656986
