	Some pheno 101	Some pheno 102	Some pheno 103	Some pheno 104	Some pheno 105	Some pheno 106	Some pheno 107	Some pheno 108	Some pheno 109	Some pheno 110
Some pheno 101	0.9999999999999999	0.8874345743159473	0.9063369484481277	0.4947436377815769	-0.9306318250133985	0.0	0.0	0.0	0.0	0.0
Some pheno 102	0.8874345743159473	1.0	0.827534988192871	0.4517278823853525	-0.8497175334659208	0.0	0.0	0.0	0.0	0.0
Some pheno 103	0.9063369484481277	0.827534988192871	0.9999999999999999	0.4613496952895515	-0.8678165338757563	0.0	0.0	0.0	0.0	0.0
Some pheno 104	0.4947436377815769	0.4517278823853525	0.4613496952895515	1.0000000000000002	-0.4737164358485418	0.0	0.0	0.0	0.0	0.0
Some pheno 105	-0.9306318250133985	-0.8497175334659208	-0.8678165338757563	-0.4737164358485418	0.9999999999999999	0.0	0.0	0.0	0.0	0.0
Some pheno 106	0.0	0.0	0.0	0.0	0.0	1.0	0.9436411735172542	0.5709320621481945	-0.824362968940275	0.9598383389432756
Some pheno 107	0.0	0.0	0.0	0.0	0.0	0.9436411735172542	1.0	0.5699272175843219	-0.8229120841451897	0.9581490165159193
Some pheno 108	0.0	0.0	0.0	0.0	0.0	0.5709320621481945	0.5699272175843219	1.0	-0.49788723336062757	0.5797097553572313
Some pheno 109	0.0	0.0	0.0	0.0	0.0	-0.824362968940275	-0.8229120841451897	-0.49788723336062757	1.0	-0.8370369904464807
Some pheno 110	0.0	0.0	0.0	0.0	0.0	0.9598383389432756	0.9581490165159193	0.5797097553572313	-0.8370369904464807	1.0
