	Some pheno 101	Some pheno 102	Some pheno 103	Some pheno 104	Some pheno 105	Some pheno 106	Some pheno 107	Some pheno 108	Some pheno 109	Some pheno 110
intercept	-1.4318644580467688	-1.815534972761716	0.9208751518152678	0.20220633091636786	0.0399111573643426	0.8889384586520694	1.2150428631835746	-0.518290633417699	2.2333685237133354	-0.384037876093342
my covar 301	-0.4988360219379094	-1.6731950512104814	-0.4915890428329071	-0.33350009406953246	-0.4300597144974695	-0.6371950342527032	-1.3318403545659157	-0.00944173545694562	0.2986452693276668	-0.38428521329806825
my covar 302	-0.6465477567349666	0.5876654779593361	0.6637684312503763	-0.6378380861075262	1.0007346008318343	1.1476617641529085	-0.06427742961390574	-0.5424833076399735	-0.6013257908256338	-0.5497959241259327
my covar 303	-0.28289249064400895	-0.3367595741942268	0.3278879528299994	0.3421259039586153	0.18148432806807546	1.0729570023456112	0.7075123821297506	-1.1476799203249408	-0.5895966884376499	-1.8201746560457326
my covar 304	-0.0771279281875821	-0.004020594210145187	-0.19089957217343095	0.2735694518838063	-0.5879442758062594	-0.6515465666115181	-0.23496497834714453	-0.9721110931189831	1.5170376271825543	2.4380525210540074
my covar 305	1.122614540712642	0.003597623726730733	-0.5496331381449028	0.7879511438703886	0.32895552570708275	-0.8594016773239442	-0.3571111098545743	-0.8261990426182956	-0.29628043975877394	-1.2284354518067284
my covar 306	1.4484176487106737	0.896630585751455	-0.13293427033637265	0.628056614990327	1.8045979125325922	0.3996294416912554	0.256313739120428	-0.9460131639372977	1.4684443184360028	-1.0484915436692623
my covar 307	-1.223936806853045	0.2161841744191911	0.7695230297598064	-0.6745359589818498	2.152804721444891	-0.374230566676216	0.5922219211288289	0.3946166817784421	0.5008956961788755	-0.9572333455276512
my covar 308	-0.22598248630207018	-1.2561651957796338	-0.3617023498834534	0.07717828651695245	-0.7001332990580252	-0.7112539010813042	-0.875425318986943	-0.5890201732555311	-1.3064668770254018	-0.3039930871515688
my covar 309	1.120107540928603	0.8730167943383893	0.7662499451132919	0.3174646708028335	1.5464046575061687	0.7140219480208709	-0.9375525208822197	0.052409318915257866	0.7602617490826997	-0.15988736591498365
